Filename,Material,Furnace,Standard,Thickness,Width,Length,Material_Code,Entry Time,Postal_Code,Batch,Delivery Time
steel_1,Q235C,SGLV0IX,GB/T 1122-2021,8,2500,5000,F2,2023/1/1,200002,Q7,2023/4/1
steel_2,Q345C,O1HPDT0,GB/T 6060-2017,20,2700,7500,F6,2023/1/2,500005,Q3,2023/1/1
steel_3,Q345R(R-HIC),AJK6SED,GB/T 3050-2020,15,2500,7500,F3,2023/1/2,500005,Q9,2023/4/1
steel_4,Q235C,FA1K4WR,GB/T 2025-2015,18,2500,7500,F1,2023/1/1,300003,Q2,2023/1/1
steel_5,Q345B,X4B4V36,GB/T 6060-2017,16,2700,5000,F2,2023/1/3,200002,Q10,2023/7/1
steel_6,Q245A,R3X73GM,GB/T 1122-2021,8,2500,5000,F8,2023/1/1,200002,Q4,2023/10/1
steel_7,Q345R(R-HIC),18L9LKP,GB/T 6060-2017,16,2700,7500,F4,2023/1/1,300003,Q8,2023/4/1
steel_8,Q345R(R-HIC),B94WQ6E,GB/T 3050-2020,10,3500,5000,F8,2023/1/3,500005,Q12,2023/7/1
steel_9,Q235C,D373K6W,GB/T 1122-2021,16,2500,7500,F5,2023/1/3,200002,Q4,2023/10/1
steel_10,Q235D,9KO3JBE,GB/T 6060-2017,10,2500,7500,F6,2023/1/2,200002,Q1,2023/1/1
steel_11,Q345B,CRX5AQ8,GB/T 2025-2015,21,3500,7500,F6,2023/1/2,500005,Q6,2023/10/1
steel_12,Q235C,Z2OJP25,GB/T 2025-2015,10,2500,11500,F8,2023/1/1,500005,Q9,2023/4/1
steel_13,Q345B,P2ML9R2,GB/T 4040-2019,25,2700,7500,F1,2023/1/3,200002,Q1,2023/1/1
steel_14,Q345B,E0QBYRP,GB/T 6060-2017,16,3500,5000,F8,2023/1/2,500005,Q12,2023/7/1
steel_15,Q245A,3A1RRGN,GB/T 5050-2018,21,3500,7500,F7,2023/1/1,200002,Q10,2023/7/1
steel_16,Q345R(R-HIC),CTHO4QT,GB/T 6060-2017,18,2700,7500,F5,2023/1/3,500005,Q3,2023/1/1
steel_17,Q345C,NXITJH4,GB/T 1122-2021,20,2500,7500,F5,2023/1/1,500005,Q9,2023/4/1
steel_18,Q245A,ZXN6F8S,GB/T 1122-2021,21,2500,5000,F8,2023/1/2,300003,Q5,2023/10/1
steel_19,Q245A,3GVSNY9,GB/T 6060-2017,16,2700,11500,F4,2023/1/2,500005,Q12,2023/7/1
steel_20,Q345B,QKLWHZ9,GB/T 3050-2020,18,3500,7500,F4,2023/1/3,300003,Q5,2023/10/1
steel_21,Q245R(R-HIC),ZWZURLA,GB/T 2025-2015,18,2700,5000,F5,2023/1/1,500005,Q9,2023/4/1
steel_22,Q345R(R-HIC),28F5IXF,GB/T 1122-2021,18,2500,5000,F3,2023/1/3,200002,Q4,2023/10/1
steel_23,Q235D,WTJXGQU,GB/T 2025-2015,8,2500,5000,F4,2023/1/2,200002,Q7,2023/4/1
steel_24,Q245A,Y919H41,GB/T 1122-2021,16,2500,7500,F8,2023/1/2,500005,Q12,2023/7/1
steel_25,Q345C,PVE4CU2,GB/T 4040-2019,18,2700,5000,F4,2023/1/1,500005,Q6,2023/10/1
steel_26,Q245R(R-HIC),TXMSCFY,GB/T 5050-2018,18,2700,5000,F5,2023/1/1,200002,Q1,2023/1/1
steel_27,Q245R(R-HIC),VOV2BEQ,GB/T 1122-2021,21,3500,7500,F1,2023/1/1,500005,Q3,2023/1/1
steel_28,Q235D,S72FQGP,GB/T 2025-2015,20,2700,5000,F2,2023/1/3,300003,Q8,2023/4/1
steel_29,Q245A,8YVXEKN,GB/T 4040-2019,25,2500,5000,F4,2023/1/1,300003,Q11,2023/7/1
steel_30,Q345C,Q0CYXUI,GB/T 1122-2021,15,2700,5000,F7,2023/1/1,300003,Q5,2023/10/1
steel_31,Q345R(R-HIC),NWI1M3X,GB/T 3050-2020,15,2700,5000,F1,2023/1/2,300003,Q2,2023/1/1
steel_32,Q235B,BW645ZG,GB/T 5050-2018,16,2700,5000,F3,2023/1/2,300003,Q2,2023/1/1
steel_33,Q345C,BRM0WHW,GB/T 1122-2021,16,2700,7500,F7,2023/1/1,500005,Q3,2023/1/1
steel_34,Q235D,3A1RRGN,GB/T 4040-2019,21,2700,5000,F8,2023/1/1,500005,Q6,2023/10/1
steel_35,Q245R(R-HIC),0P48PTI,GB/T 3050-2020,10,2700,5000,F2,2023/1/2,300003,Q2,2023/1/1
steel_36,Q345R(R-HIC),CQU1C4C,GB/T 6060-2017,21,2500,7500,F8,2023/1/1,500005,Q3,2023/1/1
steel_37,Q345C,ZE9E4AH,GB/T 4040-2019,16,2500,7500,F2,2023/1/3,500005,Q12,2023/7/1
steel_38,Q235B,1K5BJFG,GB/T 4040-2019,18,2700,7500,F2,2023/1/3,300003,Q11,2023/7/1
steel_39,Q235B,JGW5Z76,GB/T 3050-2020,20,2500,7500,F8,2023/1/3,500005,Q6,2023/10/1
steel_40,Q345B,9E3B5FE,GB/T 4040-2019,15,2500,5000,F7,2023/1/1,500005,Q6,2023/10/1
steel_41,Q345B,DIKDCW1,GB/T 3050-2020,18,2500,7500,F7,2023/1/2,500005,Q12,2023/7/1
steel_42,Q235C,Q0CYXUI,GB/T 1122-2021,16,2700,7500,F2,2023/1/1,300003,Q11,2023/7/1
steel_43,Q235D,8MKPONK,GB/T 3050-2020,8,2500,7500,F7,2023/1/1,500005,Q9,2023/4/1
steel_44,Q245A,4K4TR0M,GB/T 3050-2020,16,2700,11500,F2,2023/1/2,200002,Q1,2023/1/1
steel_45,Q345C,2IX13U8,GB/T 5050-2018,8,3500,5000,F5,2023/1/2,200002,Q1,2023/1/1
steel_46,Q345C,0QN1TJ2,GB/T 3050-2020,16,2500,7500,F2,2023/1/2,300003,Q2,2023/1/1
steel_47,Q245A,3TJ2JZ4,GB/T 3050-2020,18,2500,5000,F5,2023/1/3,200002,Q4,2023/10/1
steel_48,Q235C,9W9W7HZ,GB/T 6060-2017,18,2500,7500,F1,2023/1/1,300003,Q11,2023/7/1
steel_49,Q245R(R-HIC),4VKBN6F,GB/T 1122-2021,20,3500,7500,F6,2023/1/2,200002,Q7,2023/4/1
steel_50,Q245R(R-HIC),YQF68EE,GB/T 5050-2018,8,2500,7500,F1,2023/1/1,200002,Q1,2023/1/1
steel_51,Q235C,Y919H41,GB/T 6060-2017,20,2700,5000,F8,2023/1/3,200002,Q1,2023/1/1
steel_52,Q245R(R-HIC),7HYE8DD,GB/T 2025-2015,15,2500,7500,F6,2023/1/3,300003,Q5,2023/10/1
steel_53,Q345B,7ZQ98XH,GB/T 1122-2021,16,2700,7500,F4,2023/1/2,300003,Q11,2023/7/1
steel_54,Q345C,NM4OMFX,GB/T 1122-2021,21,2700,7500,F8,2023/1/2,500005,Q12,2023/7/1
steel_55,Q235C,CCY29L2,GB/T 2025-2015,8,2700,7500,F3,2023/1/1,300003,Q11,2023/7/1
steel_56,Q345C,VO1MDOE,GB/T 3050-2020,18,3500,7500,F1,2023/1/2,200002,Q4,2023/10/1
steel_57,Q245A,K5POY1K,GB/T 6060-2017,18,2500,7500,F7,2023/1/1,200002,Q7,2023/4/1
steel_58,Q235B,LQN79VT,GB/T 4040-2019,16,2700,5000,F1,2023/1/2,300003,Q11,2023/7/1
steel_59,Q345B,H60UCIF,GB/T 5050-2018,10,2500,7500,F7,2023/1/1,300003,Q11,2023/7/1
steel_60,Q345R(R-HIC),8RXJ5IT,GB/T 4040-2019,10,3500,5000,F6,2023/1/1,300003,Q2,2023/1/1
steel_61,Q345B,3GVSNY9,GB/T 2025-2015,25,2700,11500,F3,2023/1/1,500005,Q3,2023/1/1
steel_62,Q235C,QKLWHZ9,GB/T 1122-2021,16,3500,7500,F6,2023/1/1,200002,Q10,2023/7/1
steel_63,Q345R(R-HIC),QK89HAW,GB/T 1122-2021,15,2500,11500,F3,2023/1/3,500005,Q3,2023/1/1
steel_64,Q235B,9W9W7HZ,GB/T 5050-2018,16,2500,5000,F1,2023/1/1,500005,Q9,2023/4/1
steel_65,Q235C,VANO5B8,GB/T 1122-2021,20,2700,7500,F7,2023/1/2,200002,Q7,2023/4/1
steel_66,Q235D,CWGB0TK,GB/T 1122-2021,8,2700,7500,F6,2023/1/3,200002,Q4,2023/10/1
steel_67,Q345C,QRL62Q2,GB/T 5050-2018,16,2500,7500,F3,2023/1/3,300003,Q8,2023/4/1
steel_68,Q235B,4QD4SBI,GB/T 6060-2017,18,2700,7500,F2,2023/1/1,300003,Q11,2023/7/1
steel_69,Q345C,TDZF6LU,GB/T 6060-2017,25,2500,5000,F8,2023/1/3,500005,Q9,2023/4/1
steel_70,Q245R(R-HIC),ZQZSZKV,GB/T 5050-2018,10,2700,7500,F8,2023/1/1,300003,Q8,2023/4/1
steel_71,Q235D,9KO3JBE,GB/T 2025-2015,15,2700,7500,F6,2023/1/2,300003,Q11,2023/7/1
steel_72,Q235D,6WDQ0K6,GB/T 1122-2021,15,2700,5000,F7,2023/1/1,200002,Q4,2023/10/1
steel_73,Q235B,HPMHZJ4,GB/T 1122-2021,18,2500,5000,F2,2023/1/3,200002,Q1,2023/1/1
steel_74,Q235D,DUW3AU4,GB/T 2025-2015,15,2700,11500,F6,2023/1/2,300003,Q8,2023/4/1
steel_75,Q345R(R-HIC),EGZ369S,GB/T 6060-2017,18,2500,7500,F1,2023/1/1,200002,Q7,2023/4/1
steel_76,Q235D,A2JOJE7,GB/T 3050-2020,21,3500,11500,F3,2023/1/2,300003,Q8,2023/4/1
steel_77,Q345C,7HYE8DD,GB/T 3050-2020,20,2500,7500,F5,2023/1/2,200002,Q10,2023/7/1
steel_78,Q345C,3KX4URW,GB/T 3050-2020,16,2700,5000,F1,2023/1/3,200002,Q10,2023/7/1
steel_79,Q235C,621MUFR,GB/T 6060-2017,21,3500,5000,F8,2023/1/2,200002,Q4,2023/10/1
steel_80,Q345C,SGT2BRK,GB/T 6060-2017,18,2700,5000,F3,2023/1/3,200002,Q7,2023/4/1
steel_81,Q235C,BTCXT0R,GB/T 2025-2015,18,2700,5000,F6,2023/1/2,300003,Q2,2023/1/1
steel_82,Q345C,04IDY93,GB/T 1122-2021,8,2700,7500,F1,2023/1/1,500005,Q6,2023/10/1
steel_83,Q345R(R-HIC),VOV2BEQ,GB/T 2025-2015,25,3500,5000,F4,2023/1/2,200002,Q1,2023/1/1
steel_84,Q245A,B04H2H3,GB/T 2025-2015,8,2700,7500,F5,2023/1/1,300003,Q11,2023/7/1
steel_85,Q235C,SNAUE12,GB/T 6060-2017,10,2700,11500,F7,2023/1/1,300003,Q8,2023/4/1
steel_86,Q345B,2IX13U8,GB/T 3050-2020,8,2700,7500,F2,2023/1/2,200002,Q10,2023/7/1
steel_87,Q245R(R-HIC),IOKUB9A,GB/T 4040-2019,20,2700,7500,F2,2023/1/1,500005,Q6,2023/10/1
steel_88,Q235B,D373K6W,GB/T 1122-2021,10,2700,7500,F7,2023/1/2,200002,Q10,2023/7/1
steel_89,Q345C,6EWJ7IU,GB/T 6060-2017,10,2700,5000,F4,2023/1/2,300003,Q8,2023/4/1
steel_90,Q235D,CWGB0TK,GB/T 3050-2020,8,2500,7500,F8,2023/1/1,500005,Q6,2023/10/1
steel_91,Q245A,3XRVAD6,GB/T 4040-2019,8,2500,5000,F3,2023/1/1,300003,Q5,2023/10/1
steel_92,Q345C,B94WQ6E,GB/T 4040-2019,18,2500,5000,F7,2023/1/3,200002,Q1,2023/1/1
steel_93,Q235D,MNGEAXH,GB/T 6060-2017,20,2500,7500,F4,2023/1/1,500005,Q3,2023/1/1
steel_94,Q245R(R-HIC),S1LBNWS,GB/T 5050-2018,16,2500,5000,F6,2023/1/3,300003,Q5,2023/10/1
steel_95,Q245R(R-HIC),5BQX6VN,GB/T 1122-2021,16,2700,5000,F5,2023/1/1,300003,Q11,2023/7/1
steel_96,Q245R(R-HIC),KBCEYCI,GB/T 4040-2019,20,2500,7500,F2,2023/1/2,300003,Q11,2023/7/1
steel_97,Q235D,VEC3GU5,GB/T 6060-2017,8,2700,11500,F5,2023/1/1,200002,Q4,2023/10/1
steel_98,Q345C,95RCE0K,GB/T 6060-2017,15,2500,7500,F4,2023/1/2,500005,Q9,2023/4/1
steel_99,Q245R(R-HIC),Z2OJP25,GB/T 3050-2020,25,2500,7500,F5,2023/1/2,200002,Q4,2023/10/1
steel_100,Q345R(R-HIC),CTHO4QT,GB/T 5050-2018,18,2700,5000,F8,2023/1/2,200002,Q10,2023/7/1
steel_101,Q235C,0ZUCSUW,GB/T 1122-2021,10,2700,7500,F8,2023/1/3,200002,Q4,2023/10/1
steel_102,Q235D,6P33R3B,GB/T 2025-2015,18,2500,7500,F1,2023/1/1,500005,Q9,2023/4/1
steel_103,Q235D,4VKBN6F,GB/T 3050-2020,15,3500,7500,F7,2023/1/2,200002,Q1,2023/1/1
steel_104,Q345C,ZAO3KZP,GB/T 4040-2019,18,3500,11500,F1,2023/1/2,200002,Q1,2023/1/1
steel_105,Q235D,YHR7IB4,GB/T 4040-2019,8,2500,5000,F5,2023/1/3,200002,Q1,2023/1/1
steel_106,Q235D,95IQ4Z7,GB/T 3050-2020,8,2500,11500,F2,2023/1/1,200002,Q4,2023/10/1
steel_107,Q245R(R-HIC),Z2OJP25,GB/T 6060-2017,8,3500,11500,F4,2023/1/1,300003,Q2,2023/1/1
steel_108,Q345C,4K4TR0M,GB/T 4040-2019,25,2700,5000,F3,2023/1/3,200002,Q10,2023/7/1
steel_109,Q245R(R-HIC),UILQU2Z,GB/T 5050-2018,20,2700,7500,F5,2023/1/3,300003,Q2,2023/1/1
steel_110,Q235C,5FRBI23,GB/T 1122-2021,10,2700,11500,F3,2023/1/1,200002,Q10,2023/7/1
steel_111,Q245A,C88GXCR,GB/T 5050-2018,10,2500,5000,F8,2023/1/3,500005,Q3,2023/1/1
steel_112,Q235C,9KO3JBE,GB/T 4040-2019,20,2700,7500,F3,2023/1/1,300003,Q2,2023/1/1
steel_113,Q245A,OLSFJE7,GB/T 2025-2015,10,2500,11500,F3,2023/1/1,300003,Q2,2023/1/1
steel_114,Q245R(R-HIC),91N3B13,GB/T 1122-2021,10,2700,7500,F2,2023/1/2,300003,Q11,2023/7/1
steel_115,Q235C,UILQU2Z,GB/T 1122-2021,25,2700,5000,F3,2023/1/2,300003,Q8,2023/4/1
steel_116,Q345C,OM5MEKI,GB/T 3050-2020,10,2700,7500,F5,2023/1/1,500005,Q3,2023/1/1
steel_117,Q235B,QNA9F82,GB/T 3050-2020,20,2500,5000,F4,2023/1/1,200002,Q7,2023/4/1
steel_118,Q245R(R-HIC),91N3B13,GB/T 2025-2015,25,2500,7500,F3,2023/1/1,300003,Q11,2023/7/1
steel_119,Q245A,9TIL02C,GB/T 6060-2017,15,2700,5000,F6,2023/1/1,500005,Q12,2023/7/1
steel_120,Q345R(R-HIC),5P5OJE5,GB/T 1122-2021,8,2700,7500,F3,2023/1/1,300003,Q8,2023/4/1
steel_121,Q245A,R7XVLZO,GB/T 2025-2015,10,2700,7500,F3,2023/1/1,200002,Q10,2023/7/1
steel_122,Q345R(R-HIC),SGLV0IX,GB/T 3050-2020,21,2500,7500,F1,2023/1/3,300003,Q8,2023/4/1
steel_123,Q235D,4VKBN6F,GB/T 3050-2020,21,3500,7500,F4,2023/1/1,500005,Q3,2023/1/1
steel_124,Q235C,RA9VXLL,GB/T 1122-2021,21,2500,7500,F5,2023/1/3,200002,Q1,2023/1/1
steel_125,Q345R(R-HIC),8YCRZ0U,GB/T 5050-2018,8,3500,7500,F8,2023/1/3,500005,Q3,2023/1/1
steel_126,Q245A,UZW1FL1,GB/T 4040-2019,21,2500,5000,F1,2023/1/1,200002,Q10,2023/7/1
steel_127,Q235D,IUIEMCP,GB/T 3050-2020,25,2700,7500,F5,2023/1/1,200002,Q7,2023/4/1
steel_128,Q235B,Q4IJWB6,GB/T 6060-2017,18,2500,5000,F7,2023/1/3,200002,Q4,2023/10/1
steel_129,Q345C,Z2JJXFC,GB/T 6060-2017,25,3500,11500,F4,2023/1/3,300003,Q8,2023/4/1
steel_130,Q345C,PGMZI45,GB/T 3050-2020,21,2700,5000,F6,2023/1/1,500005,Q3,2023/1/1
steel_131,Q345C,VEC3GU5,GB/T 5050-2018,20,2500,7500,F4,2023/1/1,500005,Q9,2023/4/1
steel_132,Q345R(R-HIC),FA1K4WR,GB/T 5050-2018,18,2500,7500,F7,2023/1/3,500005,Q6,2023/10/1
steel_133,Q235B,MYEHRT3,GB/T 2025-2015,15,2500,7500,F7,2023/1/3,200002,Q4,2023/10/1
steel_134,Q345R(R-HIC),3HEYBFO,GB/T 6060-2017,10,2500,5000,F7,2023/1/3,300003,Q11,2023/7/1
steel_135,Q235C,SLFOJTB,GB/T 2025-2015,18,3500,7500,F2,2023/1/2,200002,Q1,2023/1/1
steel_136,Q345R(R-HIC),04IDY93,GB/T 6060-2017,15,2700,7500,F8,2023/1/3,500005,Q12,2023/7/1
steel_137,Q235B,NWI1M3X,GB/T 4040-2019,21,2700,7500,F3,2023/1/2,300003,Q8,2023/4/1
steel_138,Q235B,0R5F5QR,GB/T 4040-2019,25,2700,7500,F4,2023/1/1,300003,Q5,2023/10/1
steel_139,Q235C,OM5MEKI,GB/T 1122-2021,20,2700,7500,F5,2023/1/1,300003,Q2,2023/1/1
steel_140,Q235B,C9ZB19I,GB/T 2025-2015,8,2500,7500,F2,2023/1/3,500005,Q9,2023/4/1
steel_141,Q245A,C88GXCR,GB/T 3050-2020,15,2500,7500,F5,2023/1/1,300003,Q2,2023/1/1
steel_142,Q235B,6X5GTA2,GB/T 2025-2015,8,2700,7500,F3,2023/1/1,300003,Q11,2023/7/1
steel_143,Q345C,C88GXCR,GB/T 3050-2020,20,3500,7500,F3,2023/1/1,200002,Q1,2023/1/1
steel_144,Q245A,5P5OJE5,GB/T 5050-2018,21,2500,5000,F6,2023/1/1,200002,Q7,2023/4/1
steel_145,Q245A,D258TC6,GB/T 2025-2015,25,2500,5000,F7,2023/1/2,300003,Q11,2023/7/1
steel_146,Q235C,G538PC9,GB/T 5050-2018,16,2700,5000,F8,2023/1/2,300003,Q11,2023/7/1
steel_147,Q345B,7Y5SPMH,GB/T 4040-2019,25,3500,5000,F6,2023/1/3,200002,Q7,2023/4/1
steel_148,Q345B,SS5F6F1,GB/T 4040-2019,25,2500,7500,F1,2023/1/3,200002,Q10,2023/7/1
steel_149,Q235B,1K5BJFG,GB/T 1122-2021,15,2700,7500,F2,2023/1/3,200002,Q10,2023/7/1
steel_150,Q245A,DIKE2AD,GB/T 2025-2015,21,3500,5000,F2,2023/1/1,500005,Q12,2023/7/1
steel_151,Q345B,VEC3GU5,GB/T 5050-2018,15,2500,11500,F8,2023/1/1,500005,Q6,2023/10/1
steel_152,Q345B,0MVYTA0,GB/T 3050-2020,15,2500,5000,F3,2023/1/2,200002,Q1,2023/1/1
steel_153,Q235B,J6RT5EK,GB/T 4040-2019,20,2700,7500,F5,2023/1/2,300003,Q11,2023/7/1
steel_154,Q345B,QWEFIIX,GB/T 4040-2019,15,3500,7500,F2,2023/1/3,200002,Q10,2023/7/1
steel_155,Q345R(R-HIC),ZXN6F8S,GB/T 3050-2020,20,2500,7500,F8,2023/1/2,500005,Q6,2023/10/1
steel_156,Q235D,SECBIFE,GB/T 5050-2018,18,2700,5000,F2,2023/1/2,300003,Q5,2023/10/1
steel_157,Q235C,OYJ1KIP,GB/T 5050-2018,18,2700,7500,F2,2023/1/2,500005,Q3,2023/1/1
steel_158,Q235D,H60UCIF,GB/T 2025-2015,16,2700,7500,F7,2023/1/2,300003,Q5,2023/10/1
steel_159,Q235B,D258TC6,GB/T 2025-2015,18,2700,11500,F1,2023/1/2,500005,Q9,2023/4/1
steel_160,Q345C,NXITJH4,GB/T 6060-2017,18,2700,7500,F7,2023/1/3,300003,Q11,2023/7/1
steel_161,Q235C,DF8AJZJ,GB/T 6060-2017,18,2700,11500,F1,2023/1/3,300003,Q11,2023/7/1
steel_162,Q235B,Z54FGX4,GB/T 1122-2021,16,2700,5000,F2,2023/1/2,300003,Q2,2023/1/1
steel_163,Q245A,O2X92JX,GB/T 4040-2019,8,2700,7500,F6,2023/1/3,300003,Q5,2023/10/1
steel_164,Q345C,95RCE0K,GB/T 2025-2015,18,2700,7500,F5,2023/1/1,500005,Q9,2023/4/1
steel_165,Q235D,RA9VXLL,GB/T 5050-2018,10,3500,7500,F3,2023/1/2,500005,Q3,2023/1/1
steel_166,Q235B,NWI1M3X,GB/T 3050-2020,20,2500,5000,F2,2023/1/1,300003,Q5,2023/10/1
steel_167,Q245A,RUB4SJD,GB/T 5050-2018,20,2700,7500,F1,2023/1/3,300003,Q8,2023/4/1
steel_168,Q235C,SS5F6F1,GB/T 4040-2019,16,2700,7500,F1,2023/1/3,500005,Q6,2023/10/1
steel_169,Q235C,UJVZH9X,GB/T 6060-2017,18,2500,7500,F1,2023/1/1,300003,Q5,2023/10/1
steel_170,Q245R(R-HIC),Q0CYXUI,GB/T 5050-2018,25,2700,5000,F2,2023/1/3,300003,Q5,2023/10/1
steel_171,Q245A,CCY29L2,GB/T 1122-2021,21,2700,7500,F8,2023/1/2,300003,Q8,2023/4/1
steel_172,Q345R(R-HIC),OYJ1KIP,GB/T 4040-2019,25,2500,5000,F6,2023/1/1,200002,Q4,2023/10/1
steel_173,Q345B,DIKE2AD,GB/T 6060-2017,21,2700,7500,F8,2023/1/2,300003,Q5,2023/10/1
steel_174,Q345C,TDOT4RG,GB/T 3050-2020,8,2500,7500,F3,2023/1/1,200002,Q1,2023/1/1
steel_175,Q245A,QK89HAW,GB/T 6060-2017,8,2500,7500,F2,2023/1/3,300003,Q2,2023/1/1
steel_176,Q245R(R-HIC),4M20CMN,GB/T 1122-2021,18,2700,7500,F1,2023/1/1,500005,Q9,2023/4/1
steel_177,Q345B,Y2387UN,GB/T 4040-2019,10,2500,7500,F6,2023/1/1,200002,Q7,2023/4/1
steel_178,Q345B,9TIL02C,GB/T 3050-2020,16,2700,11500,F6,2023/1/2,200002,Q4,2023/10/1
steel_179,Q235B,HDAB0E9,GB/T 1122-2021,16,2700,5000,F4,2023/1/3,300003,Q5,2023/10/1
steel_180,Q345B,6KPENAM,GB/T 6060-2017,18,3500,7500,F3,2023/1/2,300003,Q5,2023/10/1
steel_181,Q345R(R-HIC),SHL66DZ,GB/T 1122-2021,20,2700,7500,F5,2023/1/3,200002,Q10,2023/7/1
steel_182,Q235C,4H07DV0,GB/T 4040-2019,20,2500,7500,F5,2023/1/2,500005,Q3,2023/1/1
steel_183,Q245R(R-HIC),NWI1M3X,GB/T 2025-2015,18,2700,5000,F6,2023/1/1,500005,Q3,2023/1/1
steel_184,Q345B,MZOA1RK,GB/T 1122-2021,21,2500,7500,F2,2023/1/2,300003,Q2,2023/1/1
steel_185,Q235B,7HYE8DD,GB/T 1122-2021,16,2700,7500,F1,2023/1/3,500005,Q12,2023/7/1
steel_186,Q345R(R-HIC),IUIEMCP,GB/T 6060-2017,25,3500,5000,F1,2023/1/3,500005,Q3,2023/1/1
steel_187,Q235D,J6RT5EK,GB/T 6060-2017,8,2500,11500,F6,2023/1/1,300003,Q11,2023/7/1
steel_188,Q235C,95IQ4Z7,GB/T 3050-2020,25,2700,5000,F8,2023/1/3,500005,Q3,2023/1/1
steel_189,Q235C,B04H2H3,GB/T 6060-2017,20,2700,7500,F3,2023/1/2,300003,Q5,2023/10/1
steel_190,Q245R(R-HIC),9W9W7HZ,GB/T 5050-2018,16,3500,5000,F1,2023/1/1,200002,Q4,2023/10/1
steel_191,Q235C,KRVFHUF,GB/T 4040-2019,10,2700,5000,F6,2023/1/3,300003,Q2,2023/1/1
steel_192,Q345B,EGZ369S,GB/T 4040-2019,16,2500,11500,F1,2023/1/3,200002,Q1,2023/1/1
steel_193,Q235B,28F5IXF,GB/T 2025-2015,10,2700,7500,F5,2023/1/2,200002,Q10,2023/7/1
steel_194,Q235C,91N3B13,GB/T 2025-2015,10,2500,7500,F6,2023/1/2,500005,Q6,2023/10/1
steel_195,Q235C,72KYO7Z,GB/T 4040-2019,18,2700,5000,F3,2023/1/1,500005,Q9,2023/4/1
steel_196,Q235D,CQMGZVJ,GB/T 2025-2015,18,3500,7500,F6,2023/1/3,500005,Q3,2023/1/1
steel_197,Q235D,JGW5Z76,GB/T 3050-2020,20,2700,7500,F4,2023/1/2,300003,Q8,2023/4/1
steel_198,Q345C,UEA5MQ2,GB/T 6060-2017,25,3500,7500,F6,2023/1/1,500005,Q3,2023/1/1
steel_199,Q345R(R-HIC),WXJG952,GB/T 4040-2019,18,2500,5000,F6,2023/1/3,200002,Q4,2023/10/1
steel_200,Q345B,I6ER7SC,GB/T 2025-2015,18,2700,7500,F2,2023/1/3,500005,Q3,2023/1/1
